video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=rHWHuP91c7Y&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@nytimes,The New York Times,"California's Extreme Drought, Explained | The New York Times",147K,11 years,The state is experiencing the worst drought in its history. Find out just how bad the situation is getting and what it means for you.,2026-01-19 19:10:19.508538
/watch?v=mOYixEBLlLg&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@cbssacramento,CBS News Sacramento,Drought maps show California is free of drought for first time in 25 years,15K,9 days,"Current drought maps are showing California is drought-free for the first time in 25 years. For video licensing inquiries, contact: ...",2026-01-19 19:10:19.510005
/watch?v=g2sqeVVl2F8&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@Foxweather,FOX Weather,California Drought Free For First Time In 25 Years,1.8K,9 days,"BYE-BYE DROUGHT: After weeks of heavy rain, California is drought-free for the first time in 25 years. Reservoirs are re-filling ...",2026-01-19 19:10:19.511454
/shorts/ogB18ztlmGs,/@ABC10,ABC10,California hits 0% drought for first time in 25 years,1.3K,10 days,"California hits 0% drought for first time in 25 years California has reached a rare milestone, with the latest drought monitor ...",2026-01-19 19:10:19.512927
/watch?v=GT-7GWWpHmk&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@News6WKMG,WKMG News 6 ClickOrlando,California drought-free for first time in 25 years,979,10 days,"According to the U.S. Drought Monitor, not a single region in California is currently classified as being in drought or even ...",2026-01-19 19:10:19.515498
/watch?v=DAP4gLGT7Nc&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@ABC10,ABC10,California Drought: Did these atmospheric rivers just bust the drought?,48K,2 years,"California Drought: Did atmospheric rivers bust the drought? And, what's next for storms ahead. ABC10 meteorologist Brenden ...",2026-01-19 19:10:19.517728
/watch?v=Dz72b3aEHqk&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@FarmJournal,Farm Journal,California's Water Crisis is Being Caused By a Man-Made Drought,163K,4 months,The latest U.S. Drought Monitor shows nearly 40% of California is facing drought. But California farmers say the bigger issue is the ...,2026-01-19 19:10:19.519123
/watch?v=8DfnR_FoE-Q&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@discoverglobeliving,Discover Globe,"Footage From California Central Valley, Thousands of Miles Sinking, Reveal Aftermath Nobody Expected",23K,3 weeks,"1265- Discoverglobe Footage From California Central Valley, Thousands of Miles Sinking, Reveal Aftermath Nobody Expected In ...",2026-01-19 19:10:19.520967
/watch?v=9R3sQ9Qon64&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@NBCNews,NBC News,California Drought Hits Driest Level | NBC News,13K,11 years,More than 58 percent of California is considered to be in an “exceptional drought” stage. » Subscribe to NBC News: ...,2026-01-19 19:10:19.523286
/watch?v=zNbT8ROPmK4&pp=ygUSY2FsaWZvcm5pYSBkcm91Z2h0,/@novapbs,NOVA PBS Official,How California's Droughts Lead to Other Disasters,108K,4 years,"Each year, California and the Southwest break new records for droughts and high temperatures, leading to heat waves, wildfires, ...",2026-01-19 19:10:19.524683
